 Tue, 9 Oct 2001 11:11:58 -0700 (PDT)ring|beck|
 Thu, 1 Nov 2001 10:47:40 -0800 (PST)
 Tue, 5 Jun 2001 12:43:03 -0700 (PDT)
 Fri, 8 Jun 2001 14:50:49 -0700 (PDT)
 Tue, 13 Nov 2001 09:03:54 -0800 (PST)
 Wed, 9 May 2001 08:12:19 -0700 (PDT)
 Mon, 7 May 2001 20:20:19 -0700 (PDT)
 Tue, 30 Oct 2001 11:06:57 -0800 (PST)
 Fri, 16 Nov 2001 11:01:03 -0800 (PST)
 Fri, 18 Jan 2002 11:07:18 -0800 (PST)
 Wed, 2 May 2001 08:08:02 -0700 (PDT)
 Mon, 17 Dec 2001 17:28:36 -0800 (PST)
 Wed, 2 May 2001 14:44:33 -0700 (PDT)
 Sun, 6 Jan 2002 13:43:14 -0800 (PST)
 Mon, 7 May 2001 11:32:45 -0700 (PDT)
 Thu, 11 Oct 2001 15:44:13 -0700 (PDT)
 Tue, 29 May 2001 15:38:42 -0700 (PDT)
 Mon, 26 Nov 2001 08:14:42 -0800 (PST)
 Wed, 6 Jun 2001 08:33:35 -0700 (PDT)
 Wed, 7 Nov 2001 09:01:04 -0800 (PST)
 Tue, 8 May 2001 06:55:51 -0700 (PDT)
 Fri, 11 Jan 2002 16:11:04 -0800 (PST)
 Fri, 26 Oct 2001 15:22:20 -0700 (PDT)
 Tue, 27 Nov 2001 10:37:32 -0800 (PST)
 Tue, 8 Jan 2002 17:06:41 -0800 (PST)
 Mon, 19 Nov 2001 11:46:17 -0800 (PST)
 Tue, 5 Jun 2001 16:42:59 -0700 (PDT)
 Wed, 2 Jan 2002 06:13:41 -0800 (PST)
 Fri, 18 Jan 2002 08:13:27 -0800 (PST)
 Tue, 13 Nov 2001 06:47:32 -0800 (PST)
 Wed, 2 Jan 2002 06:31:47 -0800 (PST)
 Mon, 19 Nov 2001 07:27:03 -0800 (PST)
 Thu, 7 Jun 2001 08:58:44 -0700 (PDT)
 Mon, 23 Apr 2001 18:34:00 -0700 (PDT)
 Tue, 30 Oct 2001 12:02:43 -0800 (PST)
 Fri, 2 Nov 2001 13:29:28 -0800 (PST)
 Thu, 17 Jan 2002 04:38:25 -0800 (PST)
 Mon, 4 Jun 2001 08:56:51 -0700 (PDT)
 Fri, 4 Jan 2002 13:18:20 -0800 (PST)
 Wed, 24 Oct 2001 14:31:12 -0700 (PDT)
 Fri, 4 Jan 2002 14:58:35 -0800 (PST)
 Fri, 4 May 2001 06:38:00 -0700 (PDT)
 Wed, 2 May 2001 09:52:14 -0700 (PDT)
 Thu, 18 Oct 2001 09:44:54 -0700 (PDT)
 Mon, 7 May 2001 11:51:17 -0700 (PDT)
 Mon, 7 May 2001 14:51:25 -0700 (PDT)
 Thu, 7 Jun 2001 15:04:20 -0700 (PDT)
 Mon, 19 Nov 2001 19:17:50 -0800 (PST)
 Tue, 30 Oct 2001 07:55:06 -0800 (PST)
 Sun, 13 Jan 2002 12:05:41 -0800 (PST)
 Tue, 27 Nov 2001 11:37:53 -0800 (PST)
 Thu, 17 Jan 2002 07:41:38 -0800 (PST)
 Wed, 2 Jan 2002 04:38:25 -0800 (PST)
 Thu, 10 Jan 2002 14:27:51 -0800 (PST)
 Tue, 5 Jun 2001 18:05:09 -0700 (PDT)
 Mon, 5 Nov 2001 12:10:21 -0800 (PST)
 Tue, 29 May 2001 06:45:46 -0700 (PDT)
 Wed, 30 May 2001 06:42:37 -0700 (PDT)
 Fri, 16 Nov 2001 14:53:42 -0800 (PST)
 Sun, 13 Jan 2002 12:38:42 -0800 (PST)
 Thu, 10 Jan 2002 07:52:12 -0800 (PST)
 Tue, 27 Nov 2001 12:23:12 -0800 (PST)
 Tue, 16 Oct 2001 15:43:29 -0700 (PDT)
 Tue, 16 Oct 2001 07:34:15 -0700 (PDT)
 Wed, 30 May 2001 16:15:01 -0700 (PDT)
 Tue, 20 Nov 2001 07:49:22 -0800 (PST)
 Wed, 9 Jan 2002 14:50:28 -0800 (PST)
 Thu, 1 Nov 2001 10:18:05 -0800 (PST)
 Fri, 4 Jan 2002 12:35:49 -0800 (PST)
 Wed, 2 Jan 2002 08:30:49 -0800 (PST)
 Mon, 7 May 2001 09:47:15 -0700 (PDT)
 Fri, 26 Oct 2001 15:59:32 -0700 (PDT)
 Mon, 15 Oct 2001 08:05:14 -0700 (PDT)
 Tue, 13 Nov 2001 08:59:41 -0800 (PST)
 Fri, 16 Nov 2001 09:08:33 -0800 (PST)
 Thu, 11 Oct 2001 10:13:06 -0700 (PDT)
 Fri, 4 May 2001 08:56:36 -0700 (PDT)
 Wed, 9 May 2001 09:17:42 -0700 (PDT)
 Tue, 13 Nov 2001 09:41:21 -0800 (PST)
 Tue, 6 Nov 2001 10:01:05 -0800 (PST)
 Mon, 14 Jan 2002 13:31:01 -0800 (PST)
 Mon, 17 Dec 2001 10:26:03 -0800 (PST)
 Thu, 20 Dec 2001 06:25:14 -0800 (PST)
 Wed, 24 Oct 2001 19:22:28 -0700 (PDT)
 Wed, 19 Dec 2001 11:46:02 -0800 (PST)
 Wed, 16 Jan 2002 04:38:42 -0800 (PST)
 Fri, 16 Nov 2001 14:59:15 -0800 (PST)
 Wed, 2 May 2001 14:17:12 -0700 (PDT)
 Fri, 4 May 2001 16:12:53 -0700 (PDT)
 Wed, 9 Jan 2002 15:58:51 -0800 (PST)
 Mon, 23 Apr 2001 10:34:00 -0700 (PDT)
 Mon, 8 Oct 2001 12:01:04 -0700 (PDT)
 Mon, 7 May 2001 11:59:08 -0700 (PDT)
 Fri, 9 Nov 2001 08:24:08 -0800 (PST)
 Wed, 21 Nov 2001 12:50:09 -0800 (PST)
 Tue, 5 Jun 2001 15:39:25 -0700 (PDT)
 Wed, 2 Jan 2002 10:03:28 -0800 (PST)
 Thu, 1 Nov 2001 08:02:16 -0800 (PST)
 Wed, 26 Dec 2001 12:00:55 -0800 (PST)
 Fri, 26 Oct 2001 14:54:23 -0700 (PDT)
 Mon, 29 Oct 2001 13:30:41 -0800 (PST)
 Wed, 2 Jan 2002 04:38:22 -0800 (PST)
 Sun, 21 Oct 2001 07:30:25 -0700 (PDT)
 Sun, 30 Dec 2001 23:00:15 -0800 (PST)
 Tue, 15 Jan 2002 17:12:58 -0800 (PST)
 Mon, 17 Dec 2001 12:29:32 -0800 (PST)
 Thu, 17 Jan 2002 08:28:11 -0800 (PST)
 Mon, 15 Oct 2001 13:53:04 -0700 (PDT)
 Wed, 6 Jun 2001 14:11:08 -0700 (PDT)
 Tue, 20 Nov 2001 02:18:00 -0800 (PST)
 Mon, 24 Dec 2001 21:01:31 -0800 (PST)
 Mon, 22 Oct 2001 10:37:14 -0700 (PDT)
 Wed, 9 Jan 2002 13:19:57 -0800 (PST)
 Mon, 7 Jan 2002 04:38:24 -0800 (PST)
 Mon, 8 Oct 2001 05:32:34 -0700 (PDT)
 Mon, 29 Oct 2001 05:47:21 -0800 (PST)
 Tue, 16 Oct 2001 16:36:49 -0700 (PDT)
 Thu, 10 Jan 2002 08:49:15 -0800 (PST)
 Tue, 13 Nov 2001 10:26:25 -0800 (PST)
 Wed, 23 May 2001 09:29:03 -0700 (PDT)
 Sun, 28 Oct 2001 20:23:22 -0800 (PST)
 Mon, 17 Dec 2001 15:16:30 -0800 (PST)
 Tue, 27 Nov 2001 11:37:46 -0800 (PST)
 Tue, 15 Jan 2002 14:48:59 -0800 (PST)
 Mon, 17 Dec 2001 13:14:52 -0800 (PST)
 Tue, 16 Oct 2001 07:00:07 -0700 (PDT)
 Thu, 17 Jan 2002 04:38:27 -0800 (PST)
 Thu, 17 May 2001 15:10:00 -0700 (PDT)
 Fri, 11 Jan 2002 08:28:07 -0800 (PST)
 Wed, 9 Jan 2002 14:06:00 -0800 (PST)
 Mon, 26 Nov 2001 14:12:31 -0800 (PST)
 Wed, 9 May 2001 12:01:42 -0700 (PDT)
 Wed, 26 Dec 2001 12:01:36 -0800 (PST)
 Tue, 22 May 2001 10:16:14 -0700 (PDT)
 Tue, 22 May 2001 07:52:36 -0700 (PDT)
 Fri, 11 Jan 2002 12:30:58 -0800 (PST)
 Mon, 19 Nov 2001 11:37:52 -0800 (PST)
 Tue, 23 Oct 2001 07:18:33 -0700 (PDT)
 Mon, 5 Nov 2001 11:18:06 -0800 (PST)
 Fri, 11 Jan 2002 04:38:21 -0800 (PST)
 Wed, 30 May 2001 14:55:17 -0700 (PDT)
 Fri, 18 Jan 2002 13:52:02 -0800 (PST)
 Fri, 11 Jan 2002 12:04:44 -0800 (PST)
 Wed, 2 Jan 2002 04:38:24 -0800 (PST)
 Wed, 21 Nov 2001 11:54:36 -0800 (PST)
 Thu, 10 Jan 2002 11:23:57 -0800 (PST)
 Wed, 21 Nov 2001 07:55:25 -0800 (PST)
 Mon, 15 Oct 2001 15:14:02 -0700 (PDT)
 Tue, 15 Jan 2002 07:46:59 -0800 (PST)
 Wed, 16 May 2001 10:29:11 -0700 (PDT)
 Wed, 16 Jan 2002 09:25:09 -0800 (PST)
 Fri, 8 Jun 2001 12:40:25 -0700 (PDT)
 Thu, 17 Jan 2002 04:38:24 -0800 (PST)
 Tue, 30 Oct 2001 08:39:39 -0800 (PST)
 Fri, 2 Nov 2001 09:37:02 -0800 (PST)
 Fri, 2 Nov 2001 07:26:32 -0800 (PST)
 Sat, 10 Nov 2001 00:15:34 -0800 (PST)
 Tue, 29 May 2001 09:03:12 -0700 (PDT)
 Mon, 7 May 2001 14:20:44 -0700 (PDT)
 Mon, 21 Jan 2002 08:42:56 -0800 (PST)
 Thu, 17 Jan 2002 16:21:06 -0800 (PST)
 Thu, 25 Oct 2001 06:23:18 -0700 (PDT)
 Thu, 7 Jun 2001 12:05:51 -0700 (PDT)
 Mon, 29 Oct 2001 15:35:53 -0800 (PST)
 Mon, 4 Jun 2001 16:47:41 -0700 (PDT)
 Tue, 6 Nov 2001 16:50:51 -0800 (PST)
 Mon, 17 Dec 2001 10:56:51 -0800 (PST)
 Tue, 30 Oct 2001 10:51:40 -0800 (PST)
 Wed, 21 Nov 2001 13:08:53 -0800 (PST)
 Sat, 26 Jan 2002 21:36:03 -0800 (PST)
 Tue, 30 Oct 2001 16:27:07 -0800 (PST)
 Thu, 10 May 2001 07:01:30 -0700 (PDT)
 Tue, 8 Jan 2002 07:48:26 -0800 (PST)
 Mon, 15 Oct 2001 08:26:11 -0700 (PDT)
 Wed, 6 Jun 2001 13:07:06 -0700 (PDT)
 Wed, 24 Oct 2001 07:00:11 -0700 (PDT)
 Wed, 23 May 2001 15:50:36 -0700 (PDT)
 Thu, 7 Jun 2001 08:51:21 -0700 (PDT)
 Fri, 28 Dec 2001 11:23:30 -0800 (PST)
 Tue, 15 Jan 2002 12:56:19 -0800 (PST)
 Thu, 7 Jun 2001 09:15:56 -0700 (PDT)
 Fri, 16 Nov 2001 13:22:07 -0800 (PST)
 Wed, 21 Nov 2001 08:22:29 -0800 (PST)
 Wed, 9 May 2001 02:35:09 -0700 (PDT)
 Mon, 29 Oct 2001 17:21:05 -0800 (PST)
 Tue, 8 May 2001 15:31:12 -0700 (PDT)
 Wed, 2 Jan 2002 04:38:26 -0800 (PST)
 Wed, 14 Nov 2001 14:17:04 -0800 (PST)
 Fri, 9 Nov 2001 06:49:07 -0800 (PST)
 Thu, 25 Oct 2001 16:05:47 -0700 (PDT)
 Tue, 27 Nov 2001 11:42:42 -0800 (PST)
 Tue, 22 May 2001 11:53:26 -0700 (PDT)
 Fri, 11 Jan 2002 06:45:56 -0800 (PST)
 Thu, 31 May 2001 05:53:26 -0700 (PDT)
 Thu, 1 Nov 2001 09:53:31 -0800 (PST)
 Wed, 7 Nov 2001 11:44:55 -0800 (PST)
 Thu, 24 May 2001 07:01:01 -0700 (PDT)
 Mon, 17 Dec 2001 07:20:32 -0800 (PST)
 Wed, 6 Jun 2001 17:25:40 -0700 (PDT)
 Mon, 7 Jan 2002 07:52:39 -0800 (PST)
 Mon, 12 Nov 2001 16:17:50 -0800 (PST)
 Mon, 26 Nov 2001 06:28:18 -0800 (PST)
 Thu, 3 Jan 2002 16:44:03 -0800 (PST)
 Wed, 6 Jun 2001 05:50:46 -0700 (PDT)
 Fri, 4 Jan 2002 14:54:39 -0800 (PST)
 Fri, 16 Nov 2001 15:44:35 -0800 (PST)
 Fri, 4 Jan 2002 16:05:02 -0800 (PST)
 Fri, 1 Jun 2001 14:18:42 -0700 (PDT)
 Mon, 22 Oct 2001 16:40:03 -0700 (PDT)
 Mon, 31 Dec 2001 15:08:03 -0800 (PST)
 Fri, 14 Dec 2001 07:30:33 -0800 (PST)
 Mon, 12 Nov 2001 14:44:05 -0800 (PST)
 Fri, 4 Jan 2002 14:46:24 -0800 (PST)
 Wed, 6 Jun 2001 09:04:03 -0700 (PDT)
 Fri, 14 Dec 2001 12:08:12 -0800 (PST)
 Thu, 15 Nov 2001 12:32:15 -0800 (PST)
 Mon, 26 Nov 2001 06:09:39 -0800 (PST)
 Wed, 16 Jan 2002 04:38:32 -0800 (PST)
 Tue, 13 Nov 2001 11:35:16 -0800 (PST)
 Tue, 23 Oct 2001 12:36:33 -0700 (PDT)
 Thu, 17 Jan 2002 13:02:32 -0800 (PST)
 Mon, 26 Nov 2001 14:23:42 -0800 (PST)
 Wed, 21 Nov 2001 05:36:49 -0800 (PST)
 Mon, 7 Jan 2002 10:30:13 -0800 (PST)
 Tue, 6 Nov 2001 15:13:18 -0800 (PST)
 Fri, 16 Nov 2001 10:43:20 -0800 (PST)
 Wed, 14 Nov 2001 06:03:11 -0800 (PST)
 Wed, 16 May 2001 12:46:39 -0700 (PDT)
 Thu, 18 Oct 2001 09:10:09 -0700 (PDT)
 Fri, 16 Nov 2001 15:51:31 -0800 (PST)
 Mon, 29 Oct 2001 15:23:46 -0800 (PST)
 Wed, 16 Jan 2002 16:15:47 -0800 (PST)
 Mon, 17 Dec 2001 13:24:21 -0800 (PST)
 Fri, 8 Jun 2001 07:50:58 -0700 (PDT)
 Tue, 13 Nov 2001 05:12:02 -0800 (PST)
 Wed, 16 Jan 2002 14:03:14 -0800 (PST)
 Fri, 11 Jan 2002 04:38:23 -0800 (PST)
 Thu, 10 Jan 2002 10:43:12 -0800 (PST)
 Wed, 16 Jan 2002 07:44:37 -0800 (PST)
 Mon, 5 Nov 2001 14:43:54 -0800 (PST)
 Mon, 21 May 2001 14:52:21 -0700 (PDT)
 Tue, 13 Nov 2001 09:35:50 -0800 (PST)
 Tue, 10 Apr 2001 15:08:00 -0700 (PDT)
 Fri, 11 Jan 2002 04:50:56 -0800 (PST)
 Wed, 7 Nov 2001 07:56:32 -0800 (PST)
 Fri, 8 Jun 2001 14:33:44 -0700 (PDT)
 Fri, 11 Jan 2002 10:37:36 -0800 (PST)
 Fri, 4 Jan 2002 14:58:43 -0800 (PST)
 Wed, 16 Jan 2002 06:33:35 -0800 (PST)
 Fri, 12 Oct 2001 08:24:35 -0700 (PDT)
 Wed, 17 Oct 2001 09:19:55 -0700 (PDT)
 Tue, 15 Jan 2002 13:13:28 -0800 (PST)
 Wed, 21 Nov 2001 08:16:53 -0800 (PST)
 Tue, 22 Jan 2002 12:12:17 -0800 (PST)
 Fri, 4 Jan 2002 12:46:15 -0800 (PST)
 Wed, 21 Nov 2001 09:55:27 -0800 (PST)
 Thu, 10 Jan 2002 06:28:25 -0800 (PST)
 Tue, 13 Nov 2001 05:43:57 -0800 (PST)
 Fri, 18 Jan 2002 08:02:07 -0800 (PST)
 Tue, 27 Nov 2001 14:44:22 -0800 (PST)
 Mon, 19 Nov 2001 07:38:05 -0800 (PST)
 Mon, 26 Nov 2001 07:50:45 -0800 (PST)
 Mon, 21 Jan 2002 08:44:42 -0800 (PST)
 Wed, 23 Jan 2002 19:26:05 -0800 (PST)
 Fri, 25 Jan 2002 11:47:08 -0800 (PST)
 Tue, 20 Nov 2001 12:48:17 -0800 (PST)
 Wed, 7 Nov 2001 14:27:37 -0800 (PST)
 Fri, 4 Jan 2002 10:18:29 -0800 (PST)
 Thu, 15 Nov 2001 09:30:29 -0800 (PST)
 Tue, 8 Jan 2002 04:38:20 -0800 (PST)
 Wed, 14 Nov 2001 16:57:34 -0800 (PST)
 Thu, 15 Nov 2001 08:28:48 -0800 (PST)
 Fri, 16 Nov 2001 08:43:29 -0800 (PST)
 Fri, 18 Jan 2002 13:30:20 -0800 (PST)
 Fri, 25 Jan 2002 12:24:31 -0800 (PST)
 Fri, 16 Nov 2001 06:24:15 -0800 (PST)
 Thu, 7 Jun 2001 20:04:41 -0700 (PDT)
 Tue, 30 Oct 2001 09:56:38 -0800 (PST)
 Wed, 16 May 2001 11:14:20 -0700 (PDT)
 Fri, 11 May 2001 15:37:36 -0700 (PDT)
 Tue, 15 Jan 2002 12:16:09 -0800 (PST)
 Sun, 25 Nov 2001 16:38:48 -0800 (PST)
 Tue, 5 Jun 2001 15:38:24 -0700 (PDT)
 Tue, 23 Oct 2001 06:07:58 -0700 (PDT)
 Fri, 4 Jan 2002 11:42:10 -0800 (PST)
 Tue, 22 May 2001 04:05:44 -0700 (PDT)
 Mon, 29 Oct 2001 05:41:01 -0800 (PST)
 Fri, 28 Dec 2001 07:14:26 -0800 (PST)
 Tue, 15 May 2001 11:35:43 -0700 (PDT)
 Thu, 8 Nov 2001 07:59:35 -0800 (PST)
 Wed, 19 Dec 2001 06:02:28 -0800 (PST)
